alpha,n_iterations,n_reps,labeling,value
0.15,50,10,[ 23 27 15 10 29 5 7 8 35 19 32 13 2 24 30 12 20 38 1 21 25 33 34 6 26 37 4 36 28 11 18 31 16 22 9 39 14 17 3 ],7
0.15,50,10,[ 3 35 34 27 39 32 24 20 29 23 5 11 12 2 28 6 4 1 10 31 37 7 33 18 8 14 22 36 13 25 9 21 17 15 26 19 38 16 30 ],6
0.15,50,10,[ 20 19 16 7 22 10 32 8 35 31 34 17 24 13 30 4 1 39 15 18 21 23 29 25 6 9 37 14 33 36 12 28 2 11 3 5 26 38 27 ],6
0.15,50,10,[ 20 25 14 21 36 9 17 15 34 26 12 30 37 7 2 29 6 22 38 5 19 3 35 24 8 33 16 23 11 13 1 32 27 18 31 39 28 10 4 ],6
0.15,100,10,[ 20 5 1 21 22 30 12 19 32 16 17 14 23 34 39 10 8 37 4 24 33 31 28 7 2 27 18 25 11 6 36 29 13 9 35 26 3 15 38 ],6
0.15,100,10,[ 9 22 10 24 16 33 36 11 8 26 5 6 7 31 1 38 2 17 4 35 34 30 27 37 21 20 28 13 12 23 15 25 14 18 32 3 19 39 29 ],6
0.15,100,10,[ 21 26 19 10 31 3 30 20 15 16 14 36 9 22 28 18 33 29 37 5 4 38 1 2 27 8 34 7 17 39 23 13 35 12 25 11 24 32 6 ],7
0.15,100,10,[ 38 5 13 17 8 4 37 2 39 27 18 19 7 15 26 6 3 35 1 20 23 33 36 22 16 28 24 14 9 31 11 10 30 12 32 25 34 21 29 ],7
0.15,100,10,[ 17 4 38 27 28 24 3 11 35 39 5 6 32 18 25 36 12 10 29 20 33 34 30 15 9 14 7 1 16 22 23 19 8 2 37 13 26 31 21 ],5
0.15,100,10,[ 14 16 17 12 10 26 31 32 35 18 7 33 4 22 3 37 15 19 39 25 2 23 6 27 9 11 13 1 34 24 36 8 28 30 20 29 38 5 21 ],6
0.15,100,10,[ 4 39 32 29 22 18 19 37 13 5 26 33 15 31 11 17 28 38 23 6 12 1 9 16 36 25 7 24 34 35 20 2 3 30 14 10 21 27 8 ],6
0.15,100,10,[ 23 28 29 19 17 15 5 7 18 13 14 34 24 26 32 33 10 30 6 12 31 35 16 3 8 38 27 11 39 36 22 37 2 4 21 1 20 9 25 ],6
0.15,100,10,[ 22 38 28 36 34 35 5 18 7 16 37 13 2 8 25 1 19 23 30 29 11 9 32 4 15 39 26 33 6 10 20 12 24 17 31 14 3 21 27 ],6
0.15,100,10,[ 35 6 37 9 24 8 5 14 31 36 28 25 4 1 3 15 30 39 26 17 38 27 2 21 19 18 22 34 29 11 13 16 12 10 20 23 33 32 7 ],7
0.2,10,10,[ 12 1 13 26 27 36 33 6 15 8 7 23 31 35 24 16 22 39 25 29 10 34 21 4 5 28 3 9 14 20 38 32 19 17 37 30 11 2 18 ],4
0.2,10,10,[ 16 17 13 32 11 22 6 15 33 29 7 2 18 23 27 34 35 26 10 9 37 25 8 24 1 31 3 28 12 5 19 20 4 38 21 36 30 14 39 ],6
0.2,10,10,[ 16 17 13 32 11 22 6 15 33 29 7 2 18 23 27 34 35 26 10 9 37 25 8 24 1 31 3 28 12 5 19 20 4 38 21 36 30 14 39 ],6
0.2,10,10,[ 16 17 13 32 11 22 6 15 33 29 7 2 18 23 27 34 35 26 10 9 37 25 8 24 1 31 3 28 12 5 19 20 4 38 21 36 30 14 39 ],6
0.2,10,10,[ 16 17 13 32 11 22 6 15 33 29 7 2 18 23 27 34 35 26 10 9 37 25 8 24 1 31 3 28 12 5 19 20 4 38 21 36 30 14 39 ],6
0.2,10,10,[ 16 17 13 32 11 22 6 15 33 29 7 2 18 23 27 34 35 26 10 9 37 25 8 24 1 31 3 28 12 5 19 20 4 38 21 36 30 14 39 ],6
0.2,10,10,[ 4 10 35 15 37 22 30 36 17 9 12 1 29 6 16 3 24 20 13 28 18 8 14 19 32 7 26 34 38 11 31 39 27 33 23 21 5 2 25 ],7
0.2,10,10,[ 4 10 35 15 37 22 30 36 17 9 12 1 29 6 16 3 24 20 13 28 18 8 14 19 32 7 26 34 38 11 31 39 27 33 23 21 5 2 25 ],7
